Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1732054 ns
ServerComputationParallelRerandomizeBucket: 6221717 ns
ServerComputationApplyPermutationBucket: 583920 ns
HelperComputationAllServerSide: 29186542 ns
DiskIOWriteBucketCiphertextsToDisk: 3814352 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1725521 ns
ServerComputationParallelRerandomizeBucket: 6073585 ns
ServerComputationApplyPermutationBucket: 586128 ns
HelperComputationAllServerSide: 29140251 ns
DiskIOWriteBucketCiphertextsToDisk: 3854715 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1737775 ns
ServerComputationParallelRerandomizeBucket: 6153329 ns
ServerComputationApplyPermutationBucket: 591720 ns
HelperComputationAllServerSide: 29089009 ns
DiskIOWriteBucketCiphertextsToDisk: 3811040 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1723818 ns
ServerComputationParallelRerandomizeBucket: 6171356 ns
ServerComputationApplyPermutationBucket: 596578 ns
HelperComputationAllServerSide: 29057254 ns
DiskIOWriteBucketCiphertextsToDisk: 3839133 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1728993 ns
ServerComputationParallelRerandomizeBucket: 6117370 ns
ServerComputationApplyPermutationBucket: 587210 ns
HelperComputationAllServerSide: 29201350 ns
DiskIOWriteBucketCiphertextsToDisk: 3811007 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1728886 ns
ServerComputationParallelRerandomizeBucket: 6111215 ns
ServerComputationApplyPermutationBucket: 587759 ns
HelperComputationAllServerSide: 29105646 ns
DiskIOWriteBucketCiphertextsToDisk: 3826847 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1729874 ns
ServerComputationParallelRerandomizeBucket: 6128569 ns
ServerComputationApplyPermutationBucket: 586858 ns
HelperComputationAllServerSide: 29165012 ns
DiskIOWriteBucketCiphertextsToDisk: 3819752 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1730064 ns
ServerComputationParallelRerandomizeBucket: 6117086 ns
ServerComputationApplyPermutationBucket: 593835 ns
HelperComputationAllServerSide: 29746962 ns
DiskIOWriteBucketCiphertextsToDisk: 3841956 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1724844 ns
ServerComputationParallelRerandomizeBucket: 6142413 ns
ServerComputationApplyPermutationBucket: 593865 ns
HelperComputationAllServerSide: 29234900 ns
DiskIOWriteBucketCiphertextsToDisk: 3849767 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1724417 ns
ServerComputationParallelRerandomizeBucket: 6164461 ns
ServerComputationApplyPermutationBucket: 591032 ns
HelperComputationAllServerSide: 29236039 ns
DiskIOWriteBucketCiphertextsToDisk: 3834739 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1740279 ns
ServerComputationParallelRerandomizeBucket: 6114790 ns
ServerComputationApplyPermutationBucket: 612076 ns
HelperComputationAllServerSide: 29076972 ns
DiskIOWriteBucketCiphertextsToDisk: 3842523 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1723690 ns
ServerComputationParallelRerandomizeBucket: 6153956 ns
ServerComputationApplyPermutationBucket: 589015 ns
HelperComputationAllServerSide: 30105643 ns
DiskIOWriteBucketCiphertextsToDisk: 3826917 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1680641 ns
ServerComputationParallelRerandomizeBucket: 6169159 ns
ServerComputationApplyPermutationBucket: 593926 ns
HelperComputationAllServerSide: 29239431 ns
DiskIOWriteBucketCiphertextsToDisk: 3799069 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1728156 ns
ServerComputationParallelRerandomizeBucket: 6145754 ns
ServerComputationApplyPermutationBucket: 589244 ns
HelperComputationAllServerSide: 28993980 ns
DiskIOWriteBucketCiphertextsToDisk: 3842404 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1717010 ns
ServerComputationParallelRerandomizeBucket: 6148469 ns
ServerComputationApplyPermutationBucket: 610399 ns
HelperComputationAllServerSide: 29071303 ns
DiskIOWriteBucketCiphertextsToDisk: 3803645 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
